h,delta,p,theta,file
58.481175,34.470580,0.075812,83.713400,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T041848C3o.log"
46.470485,34.464709,0.075938,88.499100,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T033052C3o.log"
73.989996,34.466325,0.075611,77.587200,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T052041C3o.log"
65.000221,34.471952,0.075867,80.890300,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T044447C3o.log"
49.053696,34.469171,0.075897,87.456900,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T034111C3o.log"
54.982992,34.461671,0.075881,85.054500,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T040448C3o.log"
51.211728,34.469451,0.075925,86.596000,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T034947C3o.log"
69.649318,34.473211,0.075888,79.149800,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T050320C3o.log"
46.769636,34.464737,0.075931,88.338800,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T033204C3o.log"
70.578077,34.469330,0.075811,78.727800,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T050703C3o.log"
59.708363,34.466645,0.075679,83.053200,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T042341C3o.log"
63.447885,34.471585,0.075835,81.640300,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T043836C3o.log"
50.906814,34.465250,0.075899,86.712600,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T034832C3o.log"
52.183800,34.461256,0.075877,86.178300,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T035338C3o.log"
58.793723,34.462314,0.075883,83.548400,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T042001C3o.log"
68.722154,34.472927,0.075786,79.590900,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T045941C3o.log"
54.665506,34.469944,0.075866,85.138100,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T040335C3o.log"
52.798008,34.469675,0.075901,85.908700,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T035605C3o.log"
57.117820,34.462014,0.075832,84.199600,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T041321C3o.log"
65.923038,34.468016,0.075808,80.642800,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T044828C3o.log"
54.021271,34.469850,0.075914,85.458100,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T040059C3o.log"
59.406861,34.470759,0.075793,83.812800,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T042228C3o.log"
47.383792,34.468978,0.075891,88.161600,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T033430C3o.log"
54.329572,34.461565,0.075670,85.320800,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T040213C3o.log"
61.281502,34.471117,0.075826,82.498600,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T042959C3o.log"
60.633080,34.470991,0.075816,82.842700,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T042723C3o.log"
51.863643,34.469534,0.075836,86.331800,"./20260204/executor/images/2026A-1000/20260131063930/0/20260204T035224C3o.log"
55.471670,34.461761,0.075886,84.843600,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T041437C3o.log"
53.485217,34.469791,0.075900,85.700800,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T040643C3o.log"
52.566004,34.465494,0.075874,86.031500,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T040303C3o.log"
60.766583,34.471012,0.075797,82.676900,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T043547C3o.log"
46.651991,34.468934,0.075895,88.434000,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T033926C3o.log"
48.530164,34.469138,0.075862,87.640000,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T034658C3o.log"
52.870201,34.465530,0.075925,85.953500,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T040417C3o.log"
62.921042,34.471462,0.075874,81.850000,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T044422C3o.log"
52.265023,34.469623,0.075890,86.125500,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T040149C3o.log"
55.152259,34.470034,0.075812,85.047300,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T041323C3o.log"
61.083449,34.462754,0.075895,82.619500,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T043701C3o.log"
60.116168,34.470893,0.075903,82.868100,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T043310C3o.log"
49.148144,34.460878,0.075842,87.400300,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T034926C3o.log"
53.793614,34.461502,0.075757,85.469700,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T040757C3o.log"
59.816959,34.466675,0.076045,83.065500,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T043158C3o.log"
47.883709,34.469069,0.075911,87.915900,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T034422C3o.log"
51.329496,34.469486,0.075852,86.475000,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T035808C3o.log"
51.648936,34.461207,0.075898,86.403000,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T035922C3o.log"
46.953099,34.464797,0.075874,88.360900,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T034039C3o.log"
62.615832,34.467236,0.075888,81.956900,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T044308C3o.log"
48.849625,34.460853,0.075892,87.531300,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T034812C3o.log"
63.230493,34.463198,0.075646,81.679700,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T044536C3o.log"
50.070490,34.465158,0.075901,87.051900,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T035306C3o.log"
50.384980,34.465208,0.076076,86.872600,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T035419C3o.log"
47.257337,34.464826,0.075858,88.152100,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T034153C3o.log"
56.693406,34.466114,0.075814,84.344800,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T041932C3o.log"
53.185289,34.465586,0.075812,85.689800,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T040530C3o.log"
48.191419,34.460772,0.075766,87.736800,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T034535C3o.log"
47.579529,34.464873,0.076003,87.982100,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T034307C3o.log"
61.382718,34.462803,0.075844,82.498400,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T043815C3o.log"
51.945619,34.461236,0.075842,86.281000,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T040035C3o.log"
57.621379,34.462110,0.075877,83.882600,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T042313C3o.log"
49.462514,34.469258,0.075894,87.266700,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T035038C3o.log"
56.389774,34.466070,0.075923,83.937400,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T041818C3o.log"
46.331777,34.460557,0.075887,88.552500,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T033811C3o.log"
50.687490,34.469408,0.075846,86.769100,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T035533C3o.log"
49.767640,34.465124,0.075826,87.184400,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T035153C3o.log"
45.715303,34.468822,0.075906,88.840200,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T033544C3o.log"
56.088038,34.470191,0.075891,84.582100,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T041705C3o.log"
46.033144,34.460535,0.075893,88.643500,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T033657C3o.log"
61.701984,34.471211,0.075893,82.344300,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T043929C3o.log"
50.996765,34.461116,0.075718,86.613100,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T035647C3o.log"
55.767788,34.461797,0.075804,84.809100,"./20260202/executor/images/2026A-1000/20260131063930/0/20260202T041551C3o.log"
14.845076,22.037684,0.075860,60.716100,"./20260215T043633C3o.log"
16.103740,22.037717,0.075910,63.997700,"./20260215T044134C3o.log"
14.845076,22.037684,0.075860,60.716100,"./20260215/executor/images/2026A-3001/1/0/20260215T043633C3o.log"
16.103740,22.037717,0.075910,63.997700,"./20260215/executor/images/2026A-3001/1/0/20260215T044134C3o.log"
17.422873,22.037757,0.075870,63.114300,"./20260215/executor/images/2026A-3001/1/1/20260215T044650C3o.log"
18.188436,22.037781,0.075881,64.581900,"./20260215/executor/images/2026A-3001/1/1/20260215T044953C3o.log"
18.443484,22.037789,0.075871,65.056900,"./20260215/executor/images/2026A-3001/1/1/20260215T045054C3o.log"
17.677729,22.037765,0.075877,63.600500,"./20260215/executor/images/2026A-3001/1/1/20260215T044751C3o.log"
17.932824,22.037773,0.075873,64.093100,"./20260215/executor/images/2026A-3001/1/1/20260215T044852C3o.log"
34.072053,24.453172,0.075880,76.721200,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T075230C3o.log"
60.388577,24.448335,0.075879,75.256000,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T093730C3o.log"
61.007750,24.456805,0.075874,75.174600,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T093958C3o.log"
39.839483,24.449473,0.075878,77.059600,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T081531C3o.log"
32.227903,24.444724,0.075880,76.437900,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T074508C3o.log"
31.914607,24.453013,0.075899,76.437900,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T074355C3o.log"
59.230734,24.448070,0.075878,75.452600,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T093254C3o.log"
51.545651,24.455023,0.075880,76.495700,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T090214C3o.log"
21.532231,24.448333,0.075884,72.852800,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T070227C3o.log"
